Keyword,Avg_Searches,Avg_Clicks,Competition,Google_Searches,Source_File
oyster wall art,1097.0,1095.0,9260.0,390.0,gpt.csv
city map wall art,1096.0,1094.0,90167.0,,gpt.csv
easter gifts,1096.0,1123.0,531391.0,,gpt.csv
inspirational quotes,1093.0,1053.0,567352.0,450000.0,gpt.csv
abstract,1093.0,1268.0,1969232.0,74000.0,gpt.csv
jewish wall art,1092.0,1089.0,20326.0,320.0,gpt.csv
travel poster,1088.0,1263.0,424643.0,4400.0,gpt.csv
spring home decor,1087.0,1064.0,510583.0,1900.0,gpt.csv
landscape print,1085.0,1086.0,1196485.0,1300.0,gpt.csv
last supper wall art,1083.0,1081.0,3935.0,390.0,gpt.csv
poster wall art,1078.0,1218.0,2980588.0,1300.0,gpt.csv
patio decor,1076.0,1042.0,391940.0,6600.0,gpt.csv
